TASK	Scan_ID	Range x	Range y	Range z	Range pitch	Range roll	Range yaw	Max Displacement	Max Scan-to-Scan Displacement	Mean Scan-to-Scan Displacement	Num Scans > 0.5 Voxel Displacement	Num Scans > 5% Global Signal	% of Volumes Repaired
FC	15-11-17.1DST	0.727767	0.864631	0.240942	0.767908	0.462404	0.776460	0.895561	0.867856	0.092469	0.000000	0.000000	0.404858
FC	15-11-17.2DST	0.166813	0.355439	0.455644	0.456622	0.077269	0.112762	0.565443	0.218915	0.057674	0.000000	0.000000	0.404858
FC	15-11-24.1DST	0.235516	0.571015	0.527104	0.504129	0.662856	0.147953	1.038173	0.283772	0.046435	0.000000	0.000000	0.404858
FC	15-11-24.2DST	1.337863	1.744751	4.394100	2.913251	3.391322	6.761461	6.583052	3.869229	0.269768	5.000000	0.000000	2.429150
FC	15-12-10.1DST	0.104556	0.186832	0.331054	0.241570	0.126424	0.213248	0.271940	0.103936	0.036724	0.000000	0.000000	0.404858
FC	15-12-10.2DST	0.291709	0.156924	0.485817	0.234095	0.391050	0.536996	0.830187	0.206036	0.050525	0.000000	0.000000	0.404858
FC	15-12-17.1DST	0.187015	0.615581	1.136754	1.388043	0.373405	0.755548	1.452005	1.010992	0.115693	0.000000	0.000000	0.404858
FC	15-12-17.2DST	0.434450	0.898739	1.494548	1.338139	0.254491	0.380434	2.017886	0.592692	0.077744	0.000000	0.000000	0.404858
FC	15-12-24.1DST	0.419907	0.620428	0.978522	1.387036	0.454702	0.439057	1.279877	0.840982	0.125588	0.000000	0.000000	0.404858
FC	15-12-24.2DST	0.333549	0.213131	0.489827	0.642079	0.645839	0.144647	0.921281	0.296860	0.064886	0.000000	0.000000	0.404858
FC	15-12-31.1DST	0.278068	0.372034	0.420531	0.511693	0.236521	0.315635	0.525207	0.567255	0.049545	0.000000	0.000000	0.404858
FC	16-01-08.1DST	0.253105	0.695544	0.919124	1.023660	0.482118	0.235192	1.536486	0.360208	0.066910	0.000000	0.000000	0.404858
FC	16-01-08.2DST	0.285081	0.183876	0.342134	0.260727	0.281341	0.167050	0.546236	0.219220	0.040583	0.000000	0.000000	0.404858
FC	16-01-15.1DST	0.339243	0.413459	0.681036	0.408560	0.146620	0.255556	0.696416	0.389736	0.061810	0.000000	0.000000	0.404858
FC	16-01-15.2DST	0.231088	0.315481	0.862378	0.594993	0.309522	0.209968	0.700277	0.412193	0.109676	0.000000	0.000000	0.404858
FC	16-03-08.1DST	0.217339	0.182709	0.982404	0.489169	0.315664	0.159470	0.776958	0.436729	0.088569	0.000000	0.000000	0.404858
FC	16-03-08.2DST	0.313849	0.882243	1.919921	2.311909	0.222378	0.223019	3.264188	2.877625	0.102685	1.000000	0.000000	0.809717
FC	16-03-10.1DST	0.152000	0.321059	1.633872	0.836796	0.461150	0.485261	1.240067	1.194646	0.085537	0.000000	0.000000	0.404858
FC	16-03-10.2DST	0.546087	0.635501	0.607416	0.885793	0.378461	0.598044	1.023832	0.747385	0.103032	0.000000	0.000000	0.404858
FC	16-03-15.1DST	0.288244	0.154976	0.163006	0.244333	0.559395	0.276328	0.736448	0.147885	0.050262	0.000000	0.000000	0.404858
FC	16-03-15.2DST	0.482012	0.670284	1.366093	0.827843	0.447149	0.242369	1.380378	0.757604	0.127571	0.000000	0.000000	0.404858
FC	16-03-22.1DST	0.163484	0.468320	0.200988	0.212676	0.144383	0.099780	0.359603	0.542740	0.054389	0.000000	0.000000	0.404858
FC	16-03-22.2DST	0.235474	0.997293	2.022928	1.637727	0.481668	0.235540	1.765955	2.480279	0.130997	3.000000	0.000000	1.619433
FC	16-03-29.1DST	0.316640	0.774155	2.128661	1.478440	0.264732	0.289944	1.873619	1.552410	0.122326	0.000000	0.000000	0.404858
FC	16-03-29.2DST	0.181405	0.170019	0.625290	0.407639	0.690418	0.324031	0.761913	0.343539	0.081953	0.000000	0.000000	0.404858
FC	16-04-05.1DST	0.371223	0.358940	1.249129	0.679266	0.280412	0.303852	0.864420	0.600590	0.096846	0.000000	0.000000	0.404858
FC	16-04-05.2DST	0.749572	0.869383	0.567749	3.040326	1.120864	0.851764	2.950118	1.512997	0.151312	0.000000	0.000000	0.404858
FC	16-05-24.1DST	0.344714	1.287657	3.456462	4.607891	0.729588	0.536830	4.596749	4.021398	0.174866	1.000000	0.000000	0.809717
FC	16-05-24.2DST	0.227968	0.251390	0.586956	0.314271	0.379198	0.306631	0.614952	0.258265	0.053670	0.000000	0.000000	0.404858
FC	16-05-25.1DST	0.594492	0.679967	0.525352	0.423594	0.436216	0.429756	1.103442	0.306645	0.066441	0.000000	0.000000	0.404858
FC	16-05-30.1DST	0.155536	0.186073	0.386613	0.304180	0.239105	0.158692	0.436689	0.270535	0.049368	0.000000	0.000000	0.404858
FC	16-05-30.2DST	0.262132	0.123828	0.212863	0.348021	0.162616	0.420656	0.583094	0.175536	0.041958	0.000000	0.000000	0.404858
FC	16-05-31.1DST	0.246676	0.723674	0.704328	0.337880	0.182922	0.460089	0.855855	0.374389	0.078951	0.000000	0.000000	0.404858
FC	16-05-31.2DST	1.251866	0.547672	0.878402	1.238922	2.698667	0.314970	2.300043	1.539797	0.131252	0.000000	0.000000	0.404858
FC	16-06-21.1DST	0.396377	0.732398	0.945758	2.216152	0.418482	0.579230	2.076705	0.954178	0.122501	0.000000	0.000000	0.404858
FC	16-07-12.1DST	0.110773	0.122980	0.199958	0.316730	0.088943	0.103716	0.280079	0.127004	0.049633	0.000000	0.000000	0.404858
FC	16-07-12.2DST	0.726018	0.282903	0.308399	0.351024	0.565356	0.593081	1.225063	0.170963	0.051599	0.000000	0.000000	0.404858
FC	16-07-19.1DST	0.138616	0.141613	0.430826	0.201772	0.172173	0.178383	0.413871	0.084649	0.030597	0.000000	0.000000	0.404858
FC	16-09-13.1DST	0.221985	0.772552	4.498572	2.139537	0.406331	0.332880	4.299827	0.935665	0.124028	0.000000	0.000000	0.404858
FC	16-09-19.1DST	3.113685	0.998753	3.276523	1.597524	1.621567	2.480326	4.472645	3.322055	0.231062	3.000000	0.000000	1.619433
FC	16-09-19.2DST	0.384832	0.585063	1.995614	1.410778	1.093322	0.575147	2.387756	1.211054	0.144105	0.000000	0.000000	0.404858
FC	16-09-26.1DST	0.532590	0.341080	1.385335	0.496153	0.291361	0.316613	1.133735	0.795247	0.105241	0.000000	0.000000	0.404858
FC	16-09-26.2DST	0.222326	0.330006	0.618182	0.670531	0.280595	0.203616	0.901436	0.284105	0.046796	0.000000	0.000000	0.404858
FC	16-10-12.1DST	0.439896	0.436577	1.205939	0.354302	0.574551	0.186854	1.156241	0.538738	0.074273	0.000000	0.000000	0.404858
